team,year,day,points,position
nurnberg,1993,0,0,0
bayern munich,1993,0,0,1
dortmund,1993,0,0,2
karlsruhe,1993,0,0,3
duisburg,1993,0,0,4
leverkusen,1993,0,0,5
fc koln,1993,0,0,6
kaiserslautern,1993,0,0,7
hamburg,1993,0,0,8
freiburg,1993,0,0,9
leipzig,1993,0,0,10
dresden,1993,0,0,11
m'gladbach,1993,0,0,12
ein frankfurt,1993,0,0,13
wattenscheid,1993,0,0,14
schalke 04,1993,0,0,15
werder bremen,1993,0,0,16
stuttgart,1993,0,0,17
hamburg,1993,1,3,0
bayern munich,1993,1,3,1
wattenscheid,1993,1,3,2
ein frankfurt,1993,1,3,3
kaiserslautern,1993,1,3,4
dortmund,1993,1,3,5
werder bremen,1993,1,3,6
leipzig,1993,1,1,7
dresden,1993,1,1,8
leverkusen,1993,1,1,9
duisburg,1993,1,1,10
stuttgart,1993,1,0,11
m'gladbach,1993,1,0,12
karlsruhe,1993,1,0,13
freiburg,1993,1,0,14
schalke 04,1993,1,0,15
fc koln,1993,1,0,16
nurnberg,1993,1,0,17
kaiserslautern,1993,2,6,0
duisburg,1993,2,4,1
leverkusen,1993,2,4,2
werder bremen,1993,2,4,3
ein frankfurt,1993,2,4,4
nurnberg,1993,2,3,5
karlsruhe,1993,2,3,6
bayern munich,1993,2,3,7
hamburg,1993,2,3,8
schalke 04,1993,2,3,9
wattenscheid,1993,2,3,10
dortmund,1993,2,3,11
freiburg,1993,2,3,12
leipzig,1993,2,2,13
dresden,1993,2,1,14
stuttgart,1993,2,1,15
m'gladbach,1993,2,0,16
fc koln,1993,2,0,17
leverkusen,1993,3,7,0
werder bremen,1993,3,7,1
ein frankfurt,1993,3,7,2
bayern munich,1993,3,6,3
dortmund,1993,3,6,4
kaiserslautern,1993,3,6,5
hamburg,1993,3,6,6
duisburg,1993,3,5,7
m'gladbach,1993,3,3,8
freiburg,1993,3,3,9
schalke 04,1993,3,3,10
wattenscheid,1993,3,3,11
karlsruhe,1993,3,3,12
nurnberg,1993,3,3,13
fc koln,1993,3,3,14
leipzig,1993,3,2,15
stuttgart,1993,3,2,16
dresden,1993,3,1,17
ein frankfurt,1993,4,10,0
leverkusen,1993,4,10,1
werder bremen,1993,4,10,2
hamburg,1993,4,9,3
bayern munich,1993,4,7,4
kaiserslautern,1993,4,6,5
duisburg,1993,4,6,6
fc koln,1993,4,6,7
dortmund,1993,4,6,8
karlsruhe,1993,4,6,9
wattenscheid,1993,4,4,10
stuttgart,1993,4,3,11
m'gladbach,1993,4,3,12
freiburg,1993,4,3,13
leipzig,1993,4,3,14
schalke 04,1993,4,3,15
nurnberg,1993,4,3,16
dresden,1993,4,2,17
ein frankfurt,1993,5,13,0
hamburg,1993,5,12,1
leverkusen,1993,5,10,2
bayern munich,1993,5,10,3
werder bremen,1993,5,10,4
dortmund,1993,5,9,5
duisburg,1993,5,9,6
kaiserslautern,1993,5,9,7
fc koln,1993,5,9,8
karlsruhe,1993,5,6,9
stuttgart,1993,5,6,10
m'gladbach,1993,5,6,11
wattenscheid,1993,5,4,12
leipzig,1993,5,3,13
schalke 04,1993,5,3,14
freiburg,1993,5,3,15
nurnberg,1993,5,3,16
dresden,1993,5,2,17
ein frankfurt,1993,6,16,0
hamburg,1993,6,13,1
leverkusen,1993,6,13,2
werder bremen,1993,6,13,3
bayern munich,1993,6,11,4
dortmund,1993,6,10,5
duisburg,1993,6,10,6
kaiserslautern,1993,6,10,7
fc koln,1993,6,9,8
karlsruhe,1993,6,7,9
stuttgart,1993,6,7,10
m'gladbach,1993,6,7,11
wattenscheid,1993,6,5,12
leipzig,1993,6,4,13
freiburg,1993,6,4,14
dresden,1993,6,3,15
schalke 04,1993,6,3,16
nurnberg,1993,6,3,17
ein frankfurt,1993,7,19,0
hamburg,1993,7,16,1
werder bremen,1993,7,16,2
leverkusen,1993,7,14,3
duisburg,1993,7,13,4
bayern munich,1993,7,11,5
kaiserslautern,1993,7,11,6
dortmund,1993,7,10,7
fc koln,1993,7,9,8
karlsruhe,1993,7,8,9
m'gladbach,1993,7,8,10
stuttgart,1993,7,7,11
leipzig,1993,7,7,12
dresden,1993,7,6,13
wattenscheid,1993,7,5,14
schalke 04,1993,7,4,15
freiburg,1993,7,4,16
nurnberg,1993,7,4,17
ein frankfurt,1993,8,20,0
hamburg,1993,8,19,1
werder bremen,1993,8,19,2
leverkusen,1993,8,15,3
duisburg,1993,8,14,4
kaiserslautern,1993,8,14,5
bayern munich,1993,8,12,6
dortmund,1993,8,11,7
fc koln,1993,8,10,8
dresden,1993,8,9,9
stuttgart,1993,8,8,10
karlsruhe,1993,8,8,11
m'gladbach,1993,8,8,12
leipzig,1993,8,7,13
nurnberg,1993,8,7,14
wattenscheid,1993,8,6,15
schalke 04,1993,8,4,16
freiburg,1993,8,4,17
ein frankfurt,1993,9,23,0
werder bremen,1993,9,20,1
hamburg,1993,9,19,2
duisburg,1993,9,17,3
kaiserslautern,1993,9,17,4
leverkusen,1993,9,15,5
bayern munich,1993,9,13,6
fc koln,1993,9,13,7
dortmund,1993,9,12,8
stuttgart,1993,9,11,9
dresden,1993,9,9,10
karlsruhe,1993,9,9,11
m'gladbach,1993,9,8,12
nurnberg,1993,9,8,13
leipzig,1993,9,7,14
wattenscheid,1993,9,7,15
freiburg,1993,9,5,16
schalke 04,1993,9,5,17
ein frankfurt,1993,10,26,0
werder bremen,1993,10,21,1
hamburg,1993,10,19,2
duisburg,1993,10,18,3
leverkusen,1993,10,18,4
kaiserslautern,1993,10,17,5
bayern munich,1993,10,16,6
dortmund,1993,10,15,7
fc koln,1993,10,14,8
dresden,1993,10,12,9
stuttgart,1993,10,11,10
karlsruhe,1993,10,10,11
m'gladbach,1993,10,9,12
leipzig,1993,10,8,13
nurnberg,1993,10,8,14
wattenscheid,1993,10,7,15
freiburg,1993,10,6,16
schalke 04,1993,10,6,17
ein frankfurt,1993,11,29,0
werder bremen,1993,11,24,1
hamburg,1993,11,22,2
kaiserslautern,1993,11,20,3
bayern munich,1993,11,19,4
leverkusen,1993,11,18,5
duisburg,1993,11,18,6
dortmund,1993,11,15,7
fc koln,1993,11,14,8
karlsruhe,1993,11,13,9
