team,year,day,points,position
tottenham,1993,0,0,0
arsenal,1993,0,0,1
aston villa,1993,0,0,2
qpr,1993,0,0,3
chelsea,1993,0,0,4
blackburn,1993,0,0,5
liverpool,1993,0,0,6
sheffield weds,1993,0,0,7
man city,1993,0,0,8
leeds,1993,0,0,9
newcastle,1993,0,0,10
coventry,1993,0,0,11
oldham,1993,0,0,12
ipswich,1993,0,0,13
sheffield united,1993,0,0,14
swindon,1993,0,0,15
southampton,1993,0,0,16
everton,1993,0,0,17
west ham,1993,0,0,18
wimbledon,1993,0,0,19
norwich,1993,0,0,20
man united,1993,0,0,21
tottenham,1993,1,3,0
man united,1993,1,3,1
aston villa,1993,1,3,2
wimbledon,1993,1,3,3
everton,1993,1,3,4
blackburn,1993,1,3,5
liverpool,1993,1,3,6
sheffield united,1993,1,3,7
ipswich,1993,1,3,8
coventry,1993,1,3,9
man city,1993,1,1,10
leeds,1993,1,1,11
southampton,1993,1,0,12
newcastle,1993,1,0,13
sheffield weds,1993,1,0,14
swindon,1993,1,0,15
oldham,1993,1,0,16
chelsea,1993,1,0,17
west ham,1993,1,0,18
qpr,1993,1,0,19
norwich,1993,1,0,20
arsenal,1993,1,0,21
man united,1993,2,6,0
liverpool,1993,2,6,1
everton,1993,2,6,2
ipswich,1993,2,6,3
coventry,1993,2,6,4
aston villa,1993,2,4,5
wimbledon,1993,2,4,6
leeds,1993,2,4,7
sheffield united,1993,2,3,8
blackburn,1993,2,3,9
norwich,1993,2,3,10
arsenal,1993,2,3,11
oldham,1993,2,3,12
tottenham,1993,2,3,13
man city,1993,2,1,14
sheffield weds,1993,2,1,15
chelsea,1993,2,1,16
newcastle,1993,2,0,17
swindon,1993,2,0,18
southampton,1993,2,0,19
west ham,1993,2,0,20
qpr,1993,2,0,21
everton,1993,3,9,0
ipswich,1993,3,9,1
liverpool,1993,3,9,2
man united,1993,3,7,3
coventry,1993,3,7,4
blackburn,1993,3,6,5
arsenal,1993,3,6,6
norwich,1993,3,6,7
tottenham,1993,3,6,8
aston villa,1993,3,5,9
wimbledon,1993,3,5,10
leeds,1993,3,4,11
oldham,1993,3,3,12
sheffield united,1993,3,3,13
qpr,1993,3,3,14
sheffield weds,1993,3,1,15
man city,1993,3,1,16
chelsea,1993,3,1,17
west ham,1993,3,1,18
newcastle,1993,3,1,19
southampton,1993,3,0,20
swindon,1993,3,0,21
man united,1993,4,10,0
arsenal,1993,4,9,1
norwich,1993,4,9,2
everton,1993,4,9,3
ipswich,1993,4,9,4
blackburn,1993,4,9,5
liverpool,1993,4,9,6
tottenham,1993,4,9,7
coventry,1993,4,8,8
sheffield united,1993,4,6,9
aston villa,1993,4,5,10
wimbledon,1993,4,5,11
newcastle,1993,4,4,12
oldham,1993,4,4,13
chelsea,1993,4,4,14
leeds,1993,4,4,15
west ham,1993,4,4,16
qpr,1993,4,3,17
southampton,1993,4,3,18
man city,1993,4,1,19
sheffield weds,1993,4,1,20
swindon,1993,4,0,21
man united,1993,5,13,0
arsenal,1993,5,12,1
liverpool,1993,5,12,2
norwich,1993,5,10,3
blackburn,1993,5,10,4
ipswich,1993,5,10,5
tottenham,1993,5,9,6
everton,1993,5,9,7
coventry,1993,5,9,8
aston villa,1993,5,8,9
sheffield united,1993,5,7,10
qpr,1993,5,6,11
wimbledon,1993,5,6,12
chelsea,1993,5,5,13
newcastle,1993,5,5,14
oldham,1993,5,5,15
leeds,1993,5,4,16
west ham,1993,5,4,17
southampton,1993,5,3,18
man city,1993,5,2,19
sheffield weds,1993,5,2,20
swindon,1993,5,1,21
man united,1993,6,16,0
arsenal,1993,6,13,1
coventry,1993,6,12,2
liverpool,1993,6,12,3
aston villa,1993,6,11,4
norwich,1993,6,11,5
blackburn,1993,6,11,6
ipswich,1993,6,11,7
tottenham,1993,6,10,8
qpr,1993,6,9,9
wimbledon,1993,6,9,10
everton,1993,6,9,11
leeds,1993,6,7,12
sheffield united,1993,6,7,13
chelsea,1993,6,6,14
newcastle,1993,6,6,15
oldham,1993,6,5,16
man city,1993,6,5,17
west ham,1993,6,4,18
southampton,1993,6,3,19
sheffield weds,1993,6,3,20
swindon,1993,6,1,21
arsenal,1993,7,16,0
man united,1993,7,16,1
blackburn,1993,7,14,2
coventry,1993,7,13,3
aston villa,1993,7,12,4
liverpool,1993,7,12,5
wimbledon,1993,7,12,6
everton,1993,7,12,7
norwich,1993,7,11,8
ipswich,1993,7,11,9
tottenham,1993,7,11,10
leeds,1993,7,10,11
newcastle,1993,7,9,12
chelsea,1993,7,9,13
qpr,1993,7,9,14
sheffield united,1993,7,8,15
man city,1993,7,8,16
oldham,1993,7,5,17
west ham,1993,7,5,18
sheffield weds,1993,7,3,19
southampton,1993,7,3,20
swindon,1993,7,2,21
man united,1993,8,19,0
arsenal,1993,8,16,1
aston villa,1993,8,15,2
wimbledon,1993,8,15,3
everton,1993,8,15,4
blackburn,1993,8,14,5
tottenham,1993,8,14,6
coventry,1993,8,14,7
leeds,1993,8,13,8
norwich,1993,8,12,9
liverpool,1993,8,12,10
ipswich,1993,8,11,11
chelsea,1993,8,10,12
qpr,1993,8,10,13
newcastle,1993,8,10,14
man city,1993,8,8,15
west ham,1993,8,8,16
sheffield united,1993,8,8,17
sheffield weds,1993,8,6,18
oldham,1993,8,5,19
southampton,1993,8,3,20
swindon,1993,8,3,21
man united,1993,9,22,0
arsenal,1993,9,19,1
aston villa,1993,9,16,2
wimbledon,1993,9,16,3
leeds,1993,9,16,4
blackburn,1993,9,15,5
tottenham,1993,9,15,6
everton,1993,9,15,7
norwich,1993,9,15,8
coventry,1993,9,14,9
newcastle,1993,9,13,10
chelsea,1993,9,13,11
ipswich,1993,9,12,12
liverpool,1993,9,12,13
man city,1993,9,11,14
qpr,1993,9,11,15
sheffield united,1993,9,8,16
west ham,1993,9,8,17
sheffield weds,1993,9,7,18
oldham,1993,9,6,19
southampton,1993,9,3,20
swindon,1993,9,3,21
man united,1993,10,25,0
arsenal,1993,10,20,1
leeds,1993,10,19,2
tottenham,1993,10,18,3
norwich,1993,10,18,4
blackburn,1993,10,18,5
newcastle,1993,10,16,6
aston villa,1993,10,16,7
wimbledon,1993,10,16,8
everton,1993,10,15,9
coventry,1993,10,14,10
qpr,1993,10,14,11
chelsea,1993,10,13,12
liverpool,1993,10,13,13
man city,1993,10,12,14
ipswich,1993,10,12,15
west ham,1993,10,11,16
sheffield united,1993,10,9,17
oldham,1993,10,7,18
sheffield weds,1993,10,7,19
southampton,1993,10,4,20
swindon,1993,10,3,21
man united,1993,11,28,0
arsenal,1993,11,21,1
norwich,1993,11,21,2
leeds,1993,11,20,3
blackburn,1993,11,19,4
tottenham,1993,11,18,5
aston villa,1993,11,17,6
wimbledon,1993,11,17,7
qpr,1993,11,17,8
newcastle,1993,11,16,9
everton,1993,11,16,10
liverpool,1993,11,16,11
coventry,1993,11,15,12
man city,1993,11,13,13
ipswich,1993,11,13,14
chelsea,1993,11,13,15
west ham,1993,11,12,16
sheffield united,1993,11,10,17
sheffield weds,1993,11,8,18
oldham,1993,11,7,19
southampton,1993,11,5,20
swindon,1993,11,4,21
man united,1993,12,31,0
arsenal,1993,12,22,1
norwich,1993,12,22,2
leeds,1993,12,21,3
qpr,1993,12,20,4
blackburn,1993,12,20,5
aston villa,1993,12,20,6
tottenham,1993,12,19,7
liverpool,1993,12,17,8
wimbledon,1993,12,17,9
ipswich,1993,12,16,10
newcastle,1993,12,16,11
everton,1993,12,16,12
coventry,1993,12,15,13
man city,1993,12,14,14
west ham,1993,12,13,15
chelsea,1993,12,13,16
sheffield united,1993,12,11,17
sheffield weds,1993,12,9,18
oldham,1993,12,8,19
southampton,1993,12,8,20
swindon,1993,12,5,21
man united,1993,13,34,0
arsenal,1993,13,23,1
aston villa,1993,13,23,2
norwich,1993,13,23,3
blackburn,1993,13,23,4
leeds,1993,13,22,5
liverpool,1993,13,20,6
qpr,1993,13,20,7
tottenham,1993,13,19,8
newcastle,1993,13,19,9
everton,1993,13,19,10
wimbledon,1993,13,17,11
west ham,1993,13,16,12
ipswich,1993,13,16,13
coventry,1993,13,16,14
man city,1993,13,14,15
chelsea,1993,13,13,16
sheffield united,1993,13,12,17
oldham,1993,13,11,18
sheffield weds,1993,13,10,19
southampton,1993,13,8,20
swindon,1993,13,5,21
man united,1993,14,37,0
aston villa,1993,14,26,1
norwich,1993,14,26,2
leeds,1993,14,25,3
arsenal,1993,14,23,4
blackburn,1993,14,23,5
liverpool,1993,14,23,6
qpr,1993,14,23,7
newcastle,1993,14,22,8
wimbledon,1993,14,20,9
tottenham,1993,14,19,10
coventry,1993,14,19,11
everton,1993,14,19,12
ipswich,1993,14,16,13
west ham,1993,14,16,14
man city,1993,14,14,15
sheffield weds,1993,14,13,16
chelsea,1993,14,13,17
sheffield united,1993,14,12,18
southampton,1993,14,11,19
oldham,1993,14,11,20
swindon,1993,14,5,21
man united,1993,15,40,0
aston villa,1993,15,29,1
norwich,1993,15,27,2
qpr,1993,15,26,3
arsenal,1993,15,26,4
blackburn,1993,15,26,5
leeds,1993,15,26,6
newcastle,1993,15,25,7
liverpool,1993,15,23,8
tottenham,1993,15,20,9
wimbledon,1993,15,20,10
coventry,1993,15,20,11
everton,1993,15,19,12
west ham,1993,15,19,13
ipswich,1993,15,17,14
man city,1993,15,15,15
sheffield weds,1993,15,14,16
chelsea,1993,15,13,17
sheffield united,1993,15,12,18
oldham,1993,15,11,19
southampton,1993,15,11,20
swindon,1993,15,6,21
man united,1993,16,41,0
aston villa,1993,16,29,1
blackburn,1993,16,29,2
newcastle,1993,16,28,3
arsenal,1993,16,27,4
norwich,1993,16,27,5
leeds,1993,16,27,6
liverpool,1993,16,26,7
qpr,1993,16,26,8
tottenham,1993,16,21,9
wimbledon,1993,16,21,10
coventry,1993,16,20,11
everton,1993,16,20,12
west ham,1993,16,20,13
ipswich,1993,16,18,14
sheffield weds,1993,16,17,15
man city,1993,16,16,16
southampton,1993,16,14,17
chelsea,1993,16,14,18
sheffield united,1993,16,12,19
oldham,1993,16,11,20
swindon,1993,16,9,21
man united,1993,17,44,0
arsenal,1993,17,30,1
leeds,1993,17,30,2
aston villa,1993,17,29,3
blackburn,1993,17,29,4
norwich,1993,17,28,5
newcastle,1993,17,28,6
qpr,1993,17,27,7
liverpool,1993,17,26,8
west ham,1993,17,23,9
tottenham,1993,17,22,10
wimbledon,1993,17,22,11
everton,1993,17,21,12
ipswich,1993,17,21,13
coventry,1993,17,20,14
sheffield weds,1993,17,20,15
man city,1993,17,16,16
sheffield united,1993,17,15,17
southampton,1993,17,14,18
oldham,1993,17,14,19
chelsea,1993,17,14,20
swindon,1993,17,9,21
man united,1993,18,45,0
leeds,1993,18,33,1
blackburn,1993,18,32,2
norwich,1993,18,31,3
newcastle,1993,18,31,4
aston villa,1993,18,30,5
arsenal,1993,18,30,6
liverpool,1993,18,29,7
qpr,1993,18,28,8
west ham,1993,18,26,9
everton,1993,18,24,10
sheffield weds,1993,18,23,11
coventry,1993,18,23,12
ipswich,1993,18,22,13
tottenham,1993,18,22,14
wimbledon,1993,18,22,15
man city,1993,18,16,16
sheffield united,1993,18,16,17
oldham,1993,18,15,18
southampton,1993,18,14,19
chelsea,1993,18,14,20
swindon,1993,18,10,21
man united,1993,19,48,0
leeds,1993,19,36,1
blackburn,1993,19,35,2
newcastle,1993,19,32,3
aston villa,1993,19,31,4
norwich,1993,19,31,5
arsenal,1993,19,31,6
liverpool,1993,19,30,7
qpr,1993,19,28,8
west ham,1993,19,26,9
ipswich,1993,19,25,10
wimbledon,1993,19,25,11
sheffield weds,1993,19,24,12
everton,1993,19,24,13
tottenham,1993,19,23,14
coventry,1993,19,23,15
man city,1993,19,19,16
oldham,1993,19,18,17
sheffield united,1993,19,16,18
chelsea,1993,19,15,19
southampton,1993,19,14,20
swindon,1993,19,10,21
man united,1993,20,49,0
blackburn,1993,20,38,1
leeds,1993,20,36,2
newcastle,1993,20,35,3
norwich,1993,20,34,4
arsenal,1993,20,34,5
liverpool,1993,20,31,6
aston villa,1993,20,31,7
qpr,1993,20,31,8
west ham,1993,20,29,9
wimbledon,1993,20,28,10
tottenham,1993,20,26,11
ipswich,1993,20,26,12
everton,1993,20,25,13
sheffield weds,1993,20,24,14
coventry,1993,20,24,15
man city,1993,20,19,16
oldham,1993,20,18,17
sheffield united,1993,20,17,18
chelsea,1993,20,15,19
southampton,1993,20,14,20
swindon,1993,20,11,21
man united,1993,21,52,0
blackburn,1993,21,39,1
leeds,1993,21,39,2
newcastle,1993,21,36,3
arsenal,1993,21,34,4
norwich,1993,21,34,5
qpr,1993,21,34,6
liverpool,1993,21,32,7
aston villa,1993,21,31,8
ipswich,1993,21,29,9
west ham,1993,21,29,10
wimbledon,1993,21,28,11
sheffield weds,1993,21,27,12
coventry,1993,21,27,13
tottenham,1993,21,27,14
everton,1993,21,25,15
man city,1993,21,19,16
oldham,1993,21,19,17
chelsea,1993,21,18,18
sheffield united,1993,21,17,19
southampton,1993,21,14,20
swindon,1993,21,14,21
man united,1993,22,53,0
blackburn,1993,22,42,1
leeds,1993,22,40,2
arsenal,1993,22,37,3
norwich,1993,22,37,4
newcastle,1993,22,36,5
qpr,1993,22,35,6
aston villa,1993,22,34,7
liverpool,1993,22,33,8
sheffield weds,1993,22,30,9
ipswich,1993,22,30,10
west ham,1993,22,30,11
coventry,1993,22,30,12
wimbledon,1993,22,29,13
tottenham,1993,22,27,14
everton,1993,22,25,15
chelsea,1993,22,21,16
man city,1993,22,20,17
oldham,1993,22,19,18
sheffield united,1993,22,18,19
southampton,1993,22,17,20
swindon,1993,22,14,21
man united,1993,23,56,0
blackburn,1993,23,45,1
leeds,1993,23,41,2
arsenal,1993,23,40,3
newcastle,1993,23,39,4
norwich,1993,23,37,5
liverpool,1993,23,36,6
qpr,1993,23,35,7
aston villa,1993,23,34,8
sheffield weds,1993,23,31,9
coventry,1993,23,31,10
ipswich,1993,23,30,11
tottenham,1993,23,30,12
west ham,1993,23,30,13
wimbledon,1993,23,29,14
everton,1993,23,25,15
chelsea,1993,23,24,16
man city,1993,23,20,17
oldham,1993,23,19,18
sheffield united,1993,23,18,19
southampton,1993,23,18,20
swindon,1993,23,15,21
man united,1993,24,57,0
blackburn,1993,24,48,1
arsenal,1993,24,43,2
leeds,1993,24,42,3
newcastle,1993,24,42,4
norwich,1993,24,38,5
liverpool,1993,24,37,6
aston villa,1993,24,37,7
qpr,1993,24,36,8
sheffield weds,1993,24,34,9
west ham,1993,24,33,10
wimbledon,1993,24,32,11
coventry,1993,24,31,12
ipswich,1993,24,31,13
tottenham,1993,24,30,14
chelsea,1993,24,25,15
everton,1993,24,25,16
man city,1993,24,21,17
sheffield united,1993,24,21,18
oldham,1993,24,19,19
southampton,1993,24,18,20
swindon,1993,24,15,21
man united,1993,25,58,0
blackburn,1993,25,51,1
newcastle,1993,25,45,2
arsenal,1993,25,44,3
leeds,1993,25,43,4
liverpool,1993,25,40,5
norwich,1993,25,39,6
aston villa,1993,25,38,7
sheffield weds,1993,25,37,8
qpr,1993,25,36,9
west ham,1993,25,34,10
wimbledon,1993,25,33,11
ipswich,1993,25,32,12
coventry,1993,25,31,13
tottenham,1993,25,30,14
chelsea,1993,25,26,15
everton,1993,25,25,16
sheffield united,1993,25,22,17
southampton,1993,25,21,18
man city,1993,25,21,19
oldham,1993,25,19,20
swindon,1993,25,16,21
man united,1993,26,61,0
blackburn,1993,26,54,1
arsenal,1993,26,45,2
newcastle,1993,26,45,3
liverpool,1993,26,43,4
leeds,1993,26,43,5
aston villa,1993,26,41,6
norwich,1993,26,40,7
qpr,1993,26,39,8
sheffield weds,1993,26,37,9
west ham,1993,26,34,10
coventry,1993,26,34,11
wimbledon,1993,26,33,12
ipswich,1993,26,32,13
tottenham,1993,26,30,14
everton,1993,26,28,15
chelsea,1993,26,26,16
southampton,1993,26,24,17
man city,1993,26,24,18
sheffield united,1993,26,22,19
oldham,1993,26,20,20
swindon,1993,26,16,21
man united,1993,27,64,0
blackburn,1993,27,57,1
arsenal,1993,27,46,2
newcastle,1993,27,45,3
liverpool,1993,27,44,4
aston villa,1993,27,44,5
leeds,1993,27,43,6
norwich,1993,27,41,7
sheffield weds,1993,27,40,8
qpr,1993,27,39,9
wimbledon,1993,27,36,10
west ham,1993,27,35,11
coventry,1993,27,34,12
ipswich,1993,27,32,13
tottenham,1993,27,30,14
everton,1993,27,28,15
chelsea,1993,27,26,16
man city,1993,27,25,17
southampton,1993,27,24,18
oldham,1993,27,23,19
sheffield united,1993,27,22,20
swindon,1993,27,19,21
man united,1993,28,67,0
blackburn,1993,28,60,1
arsenal,1993,28,47,2
leeds,1993,28,46,3
newcastle,1993,28,45,4
aston villa,1993,28,45,5
liverpool,1993,28,44,6
sheffield weds,1993,28,43,7
norwich,1993,28,42,8
qpr,1993,28,40,9
wimbledon,1993,28,36,10
west ham,1993,28,36,11
coventry,1993,28,35,12
ipswich,1993,28,33,13
everton,1993,28,31,14
tottenham,1993,28,30,15
chelsea,1993,28,29,16
southampton,1993,28,27,17
oldham,1993,28,26,18
man city,1993,28,25,19
sheffield united,1993,28,23,20
swindon,1993,28,22,21
man united,1993,29,68,0
blackburn,1993,29,61,1
arsenal,1993,29,48,2
newcastle,1993,29,48,3
leeds,1993,29,47,4
aston villa,1993,29,46,5
liverpool,1993,29,44,6
sheffield weds,1993,29,44,7
qpr,1993,29,43,8
norwich,1993,29,43,9
wimbledon,1993,29,39,10
coventry,1993,29,38,11
west ham,1993,29,37,12
ipswich,1993,29,36,13
chelsea,1993,29,32,14
everton,1993,29,32,15
southampton,1993,29,30,16
tottenham,1993,29,30,17
oldham,1993,29,27,18
man city,1993,29,26,19
sheffield united,1993,29,23,20
swindon,1993,29,22,21
man united,1993,30,68,0
blackburn,1993,30,61,1
arsenal,1993,30,51,2
newcastle,1993,30,51,3
aston villa,1993,30,49,4
leeds,1993,30,48,5
liverpool,1993,30,47,6
sheffield weds,1993,30,44,7
qpr,1993,30,44,8
norwich,1993,30,44,9
wimbledon,1993,30,42,10
west ham,1993,30,38,11
coventry,1993,30,38,12
ipswich,1993,30,36,13
chelsea,1993,30,35,14
everton,1993,30,33,15
southampton,1993,30,31,16
tottenham,1993,30,30,17
man city,1993,30,29,18
oldham,1993,30,27,19
sheffield united,1993,30,24,20
swindon,1993,30,23,21
man united,1993,31,71,0
blackburn,1993,31,64,1
arsenal,1993,31,54,2
newcastle,1993,31,54,3
aston villa,1993,31,49,4
leeds,1993,31,49,5
liverpool,1993,31,47,6
qpr,1993,31,47,7
sheffield weds,1993,31,45,8
norwich,1993,31,44,9
wimbledon,1993,31,42,10
ipswich,1993,31,39,11
west ham,1993,31,38,12
coventry,1993,31,38,13
everton,1993,31,36,14
chelsea,1993,31,35,15
southampton,1993,31,32,16
tottenham,1993,31,31,17
man city,1993,31,30,18
oldham,1993,31,30,19
sheffield united,1993,31,25,20
swindon,1993,31,23,21
man united,1993,32,72,0
blackburn,1993,32,67,1
arsenal,1993,32,57,2
newcastle,1993,32,57,3
leeds,1993,32,52,4
liverpool,1993,32,50,5
qpr,1993,32,50,6
aston villa,1993,32,49,7
sheffield weds,1993,32,45,8
norwich,1993,32,44,9
wimbledon,1993,32,42,10
ipswich,1993,32,40,11
west ham,1993,32,38,12
chelsea,1993,32,38,13
coventry,1993,32,38,14
everton,1993,32,36,15
southampton,1993,32,32,16
tottenham,1993,32,32,17
oldham,1993,32,31,18
man city,1993,32,30,19
sheffield united,1993,32,26,20
swindon,1993,32,24,21
man united,1993,33,73,0
blackburn,1993,33,70,1
newcastle,1993,33,60,2
arsenal,1993,33,58,3
leeds,1993,33,55,4
liverpool,1993,33,53,5
