team,year,day,points,position
oviedo,1993,0,0,0
ath bilbao,1993,0,0,1
ath madrid,1993,0,0,2
logrones,1993,0,0,3
barcelona,1993,0,0,4
sociedad,1993,0,0,5
la coruna,1993,0,0,6
celta,1993,0,0,7
osasuna,1993,0,0,8
real madrid,1993,0,0,9
albacete,1993,0,0,10
valencia,1993,0,0,11
santander,1993,0,0,12
vallecano,1993,0,0,13
tenerife,1993,0,0,14
lerida,1993,0,0,15
valladolid,1993,0,0,16
sp gijon,1993,0,0,17
zaragoza,1993,0,0,18
sevilla,1993,0,0,19
ath bilbao,1993,1,3,0
sevilla,1993,1,3,1
ath madrid,1993,1,3,2
sp gijon,1993,1,3,3
barcelona,1993,1,3,4
tenerife,1993,1,3,5
santander,1993,1,3,6
valencia,1993,1,3,7
real madrid,1993,1,3,8
celta,1993,1,1,9
la coruna,1993,1,1,10
sociedad,1993,1,0,11
osasuna,1993,1,0,12
vallecano,1993,1,0,13
albacete,1993,1,0,14
lerida,1993,1,0,15
valladolid,1993,1,0,16
logrones,1993,1,0,17
zaragoza,1993,1,0,18
oviedo,1993,1,0,19
ath bilbao,1993,2,6,0
santander,1993,2,6,1
ath madrid,1993,2,4,2
sevilla,1993,2,4,3
barcelona,1993,2,4,4
valencia,1993,2,4,5
la coruna,1993,2,4,6
vallecano,1993,2,3,7
real madrid,1993,2,3,8
sp gijon,1993,2,3,9
valladolid,1993,2,3,10
tenerife,1993,2,3,11
celta,1993,2,2,12
osasuna,1993,2,1,13
sociedad,1993,2,1,14
albacete,1993,2,1,15
zaragoza,1993,2,1,16
oviedo,1993,2,1,17
logrones,1993,2,0,18
lerida,1993,2,0,19
ath bilbao,1993,3,7,0
ath madrid,1993,3,7,1
la coruna,1993,3,7,2
valencia,1993,3,7,3
sp gijon,1993,3,6,4
vallecano,1993,3,6,5
tenerife,1993,3,6,6
santander,1993,3,6,7
barcelona,1993,3,5,8
sevilla,1993,3,5,9
sociedad,1993,3,4,10
valladolid,1993,3,4,11
real madrid,1993,3,3,12
albacete,1993,3,2,13
celta,1993,3,2,14
zaragoza,1993,3,2,15
osasuna,1993,3,1,16
oviedo,1993,3,1,17
lerida,1993,3,0,18
logrones,1993,3,0,19
ath bilbao,1993,4,10,0
valencia,1993,4,10,1
ath madrid,1993,4,8,2
barcelona,1993,4,8,3
la coruna,1993,4,8,4
sp gijon,1993,4,7,5
sociedad,1993,4,7,6
santander,1993,4,7,7
vallecano,1993,4,6,8
sevilla,1993,4,6,9
tenerife,1993,4,6,10
albacete,1993,4,5,11
valladolid,1993,4,4,12
oviedo,1993,4,4,13
real madrid,1993,4,3,14
celta,1993,4,3,15
logrones,1993,4,3,16
zaragoza,1993,4,2,17
osasuna,1993,4,1,18
lerida,1993,4,0,19
ath bilbao,1993,5,13,0
barcelona,1993,5,11,1
valencia,1993,5,11,2
sociedad,1993,5,10,3
santander,1993,5,10,4
ath madrid,1993,5,9,5
vallecano,1993,5,9,6
sevilla,1993,5,9,7
la coruna,1993,5,8,8
tenerife,1993,5,7,9
sp gijon,1993,5,7,10
valladolid,1993,5,7,11
albacete,1993,5,5,12
celta,1993,5,4,13
oviedo,1993,5,4,14
real madrid,1993,5,4,15
logrones,1993,5,3,16
zaragoza,1993,5,2,17
lerida,1993,5,1,18
osasuna,1993,5,1,19
valencia,1993,6,14,0
barcelona,1993,6,14,1
ath bilbao,1993,6,13,2
sevilla,1993,6,12,3
sociedad,1993,6,11,4
santander,1993,6,10,5
tenerife,1993,6,10,6
la coruna,1993,6,9,7
ath madrid,1993,6,9,8
vallecano,1993,6,9,9
celta,1993,6,7,10
sp gijon,1993,6,7,11
valladolid,1993,6,7,12
real madrid,1993,6,7,13
albacete,1993,6,6,14
logrones,1993,6,6,15
zaragoza,1993,6,5,16
oviedo,1993,6,5,17
lerida,1993,6,1,18
osasuna,1993,6,1,19
valencia,1993,7,14,0
barcelona,1993,7,14,1
sociedad,1993,7,14,2
ath bilbao,1993,7,13,3
santander,1993,7,13,4
sevilla,1993,7,12,5
la coruna,1993,7,12,6
tenerife,1993,7,11,7
vallecano,1993,7,10,8
ath madrid,1993,7,9,9
logrones,1993,7,9,10
celta,1993,7,8,11
real madrid,1993,7,8,12
valladolid,1993,7,8,13
sp gijon,1993,7,8,14
albacete,1993,7,7,15
zaragoza,1993,7,6,16
oviedo,1993,7,6,17
osasuna,1993,7,4,18
lerida,1993,7,2,19
valencia,1993,8,17,0
barcelona,1993,8,17,1
sociedad,1993,8,17,2
sevilla,1993,8,15,3
la coruna,1993,8,15,4
ath bilbao,1993,8,13,5
santander,1993,8,13,6
celta,1993,8,11,7
real madrid,1993,8,11,8
tenerife,1993,8,11,9
sp gijon,1993,8,11,10
vallecano,1993,8,10,11
ath madrid,1993,8,10,12
logrones,1993,8,9,13
valladolid,1993,8,8,14
albacete,1993,8,8,15
osasuna,1993,8,7,16
zaragoza,1993,8,6,17
oviedo,1993,8,6,18
lerida,1993,8,2,19
valencia,1993,9,20,0
sevilla,1993,9,18,1
la coruna,1993,9,18,2
barcelona,1993,9,17,3
sociedad,1993,9,17,4
ath bilbao,1993,9,16,5
sp gijon,1993,9,14,6
real madrid,1993,9,14,7
santander,1993,9,14,8
tenerife,1993,9,14,9
ath madrid,1993,9,13,10
celta,1993,9,11,11
vallecano,1993,9,10,12
logrones,1993,9,9,13
albacete,1993,9,9,14
oviedo,1993,9,9,15
valladolid,1993,9,8,16
osasuna,1993,9,7,17
zaragoza,1993,9,6,18
lerida,1993,9,2,19
sevilla,1993,10,21,0
barcelona,1993,10,20,1
valencia,1993,10,20,2
la coruna,1993,10,19,3
ath bilbao,1993,10,17,4
sociedad,1993,10,17,5
sp gijon,1993,10,17,6
tenerife,1993,10,17,7
real madrid,1993,10,17,8
santander,1993,10,14,9
ath madrid,1993,10,13,10
celta,1993,10,12,11
osasuna,1993,10,10,12
vallecano,1993,10,10,13
albacete,1993,10,9,14
oviedo,1993,10,9,15
valladolid,1993,10,9,16
zaragoza,1993,10,9,17
logrones,1993,10,9,18
lerida,1993,10,5,19
barcelona,1993,11,23,0
sevilla,1993,11,22,1
valencia,1993,11,20,2
ath bilbao,1993,11,20,3
sp gijon,1993,11,20,4
real madrid,1993,11,20,5
la coruna,1993,11,19,6
tenerife,1993,11,17,7
sociedad,1993,11,17,8
santander,1993,11,17,9
ath madrid,1993,11,16,10
vallecano,1993,11,13,11
celta,1993,11,12,12
albacete,1993,11,12,13
oviedo,1993,11,12,14
logrones,1993,11,10,15
osasuna,1993,11,10,16
valladolid,1993,11,9,17
zaragoza,1993,11,9,18
lerida,1993,11,5,19
valencia,1993,12,23,0
ath bilbao,1993,12,23,1
real madrid,1993,12,23,2
barcelona,1993,12,23,3
sevilla,1993,12,22,4
la coruna,1993,12,22,5
sp gijon,1993,12,20,6
sociedad,1993,12,18,7
santander,1993,12,18,8
tenerife,1993,12,17,9
ath madrid,1993,12,17,10
vallecano,1993,12,14,11
albacete,1993,12,13,12
celta,1993,12,12,13
oviedo,1993,12,12,14
zaragoza,1993,12,12,15
logrones,1993,12,11,16
osasuna,1993,12,11,17
valladolid,1993,12,10,18
lerida,1993,12,8,19
barcelona,1993,13,26,0
la coruna,1993,13,25,1
valencia,1993,13,24,2
ath bilbao,1993,13,24,3
sp gijon,1993,13,23,4
real madrid,1993,13,23,5
sevilla,1993,13,22,6
santander,1993,13,21,7
tenerife,1993,13,20,8
sociedad,1993,13,19,9
ath madrid,1993,13,17,10
celta,1993,13,15,11
zaragoza,1993,13,15,12
vallecano,1993,13,14,13
albacete,1993,13,14,14
oviedo,1993,13,13,15
logrones,1993,13,12,16
osasuna,1993,13,11,17
valladolid,1993,13,10,18
lerida,1993,13,8,19
la coruna,1993,14,28,0
barcelona,1993,14,27,1
sp gijon,1993,14,26,2
real madrid,1993,14,26,3
valencia,1993,14,24,4
ath bilbao,1993,14,24,5
sevilla,1993,14,22,6
sociedad,1993,14,22,7
santander,1993,14,21,8
tenerife,1993,14,20,9
zaragoza,1993,14,18,10
ath madrid,1993,14,18,11
albacete,1993,14,17,12
celta,1993,14,15,13
osasuna,1993,14,14,14
vallecano,1993,14,14,15
oviedo,1993,14,14,16
valladolid,1993,14,13,17
logrones,1993,14,13,18
lerida,1993,14,8,19
la coruna,1993,15,31,0
barcelona,1993,15,30,1
sp gijon,1993,15,29,2
real madrid,1993,15,27,3
ath bilbao,1993,15,27,4
valencia,1993,15,24,5
sevilla,1993,15,23,6
sociedad,1993,15,22,7
santander,1993,15,21,8
tenerife,1993,15,20,9
albacete,1993,15,20,10
zaragoza,1993,15,19,11
ath madrid,1993,15,18,12
vallecano,1993,15,17,13
oviedo,1993,15,17,14
celta,1993,15,15,15
osasuna,1993,15,14,16
logrones,1993,15,14,17
valladolid,1993,15,13,18
lerida,1993,15,11,19
la coruna,1993,16,34,0
barcelona,1993,16,33,1
ath bilbao,1993,16,30,2
sp gijon,1993,16,29,3
real madrid,1993,16,27,4
sociedad,1993,16,25,5
valencia,1993,16,24,6
albacete,1993,16,23,7
sevilla,1993,16,23,8
zaragoza,1993,16,22,9
ath madrid,1993,16,21,10
santander,1993,16,21,11
oviedo,1993,16,20,12
vallecano,1993,16,20,13
tenerife,1993,16,20,14
logrones,1993,16,17,15
celta,1993,16,15,16
osasuna,1993,16,14,17
valladolid,1993,16,13,18
lerida,1993,16,11,19
la coruna,1993,17,35,0
barcelona,1993,17,33,1
sp gijon,1993,17,32,2
real madrid,1993,17,30,3
ath bilbao,1993,17,30,4
sevilla,1993,17,26,5
sociedad,1993,17,25,6
valencia,1993,17,25,7
santander,1993,17,24,8
albacete,1993,17,23,9
zaragoza,1993,17,22,10
ath madrid,1993,17,22,11
oviedo,1993,17,21,12
vallecano,1993,17,21,13
tenerife,1993,17,21,14
celta,1993,17,18,15
logrones,1993,17,18,16
osasuna,1993,17,15,17
valladolid,1993,17,14,18
lerida,1993,17,12,19
la coruna,1993,18,38,0
