team,year,day,points,position
montpellier,1993,0,0,0
nantes,1993,0,0,1
bordeaux,1993,0,0,2
paris sg,1993,0,0,3
caen,1993,0,0,4
metz,1993,0,0,5
lille,1993,0,0,6
martigues,1993,0,0,7
marseille,1993,0,0,8
lens,1993,0,0,9
monaco,1993,0,0,10
lyon,1993,0,0,11
sochaux,1993,0,0,12
angers,1993,0,0,13
st etienne,1993,0,0,14
cannes,1993,0,0,15
strasbourg,1993,0,0,16
auxerre,1993,0,0,17
toulouse,1993,0,0,18
le havre,1993,0,0,19
nantes,1993,1,3,0
bordeaux,1993,1,3,1
marseille,1993,1,3,2
sochaux,1993,1,3,3
cannes,1993,1,3,4
metz,1993,1,1,5
lille,1993,1,1,6
martigues,1993,1,1,7
le havre,1993,1,1,8
auxerre,1993,1,1,9
strasbourg,1993,1,1,10
lyon,1993,1,1,11
toulouse,1993,1,1,12
caen,1993,1,1,13
montpellier,1993,1,1,14
st etienne,1993,1,0,15
angers,1993,1,0,16
monaco,1993,1,0,17
lens,1993,1,0,18
paris sg,1993,1,0,19
nantes,1993,2,6,0
cannes,1993,2,6,1
bordeaux,1993,2,6,2
metz,1993,2,4,3
lyon,1993,2,4,4
sochaux,1993,2,4,5
auxerre,1993,2,4,6
paris sg,1993,2,3,7
marseille,1993,2,3,8
monaco,1993,2,3,9
martigues,1993,2,2,10
strasbourg,1993,2,2,11
le havre,1993,2,1,12
toulouse,1993,2,1,13
lens,1993,2,1,14
lille,1993,2,1,15
caen,1993,2,1,16
montpellier,1993,2,1,17
st etienne,1993,2,0,18
angers,1993,2,0,19
nantes,1993,3,9,0
bordeaux,1993,3,7,1
cannes,1993,3,7,2
sochaux,1993,3,7,3
auxerre,1993,3,4,4
metz,1993,3,4,5
montpellier,1993,3,4,6
paris sg,1993,3,4,7
marseille,1993,3,4,8
caen,1993,3,4,9
lyon,1993,3,4,10
monaco,1993,3,3,11
angers,1993,3,3,12
st etienne,1993,3,3,13
strasbourg,1993,3,3,14
lens,1993,3,2,15
martigues,1993,3,2,16
lille,1993,3,2,17
le havre,1993,3,2,18
toulouse,1993,3,1,19
nantes,1993,4,10,0
cannes,1993,4,10,1
bordeaux,1993,4,7,2
paris sg,1993,4,7,3
lyon,1993,4,7,4
sochaux,1993,4,7,5
monaco,1993,4,6,6
auxerre,1993,4,5,7
martigues,1993,4,5,8
marseille,1993,4,5,9
lens,1993,4,5,10
metz,1993,4,4,11
montpellier,1993,4,4,12
angers,1993,4,4,13
st etienne,1993,4,4,14
caen,1993,4,4,15
strasbourg,1993,4,4,16
le havre,1993,4,3,17
