team,year,day,position,last
foggia,1993,0,0,8
atalanta,1993,0,1,16
genoa,1993,0,2,13
roma,1993,0,3,6
inter,1993,0,4,10
reggiana,1993,0,5,11
juventus,1993,0,6,1
cremonese,1993,0,7,12
lazio,1993,0,8,3
cagliari,1993,0,9,9
lecce,1993,0,10,17
milan,1993,0,11,0
napoli,1993,0,12,5
sampdoria,1993,0,13,2
piacenza,1993,0,14,14
torino,1993,0,15,7
udinese,1993,0,16,15
parma,1993,0,17,4
atalanta,1993,1,0,16
parma,1993,1,1,4
genoa,1993,1,2,13
torino,1993,1,3,7
inter,1993,1,4,10
sampdoria,1993,1,5,2
juventus,1993,1,6,1
milan,1993,1,7,0
lazio,1993,1,8,3
foggia,1993,1,9,8
cagliari,1993,1,10,9
lecce,1993,1,11,17
cremonese,1993,1,12,12
napoli,1993,1,13,5
reggiana,1993,1,14,11
piacenza,1993,1,15,14
roma,1993,1,16,6
udinese,1993,1,17,15
parma,1993,2,0,4
torino,1993,2,1,7
sampdoria,1993,2,2,2
milan,1993,2,3,0
inter,1993,2,4,10
udinese,1993,2,5,15
juventus,1993,2,6,1
cremonese,1993,2,7,12
genoa,1993,2,8,13
roma,1993,2,9,6
atalanta,1993,2,10,16
lazio,1993,2,11,3
foggia,1993,2,12,8
reggiana,1993,2,13,11
lecce,1993,2,14,17
napoli,1993,2,15,5
cagliari,1993,2,16,9
piacenza,1993,2,17,14
torino,1993,3,0,7
inter,1993,3,1,10
milan,1993,3,2,0
atalanta,1993,3,3,16
parma,1993,3,4,4
sampdoria,1993,3,5,2
juventus,1993,3,6,1
foggia,1993,3,7,8
lazio,1993,3,8,3
udinese,1993,3,9,15
genoa,1993,3,10,13
roma,1993,3,11,6
cremonese,1993,3,12,12
reggiana,1993,3,13,11
piacenza,1993,3,14,14
cagliari,1993,3,15,9
napoli,1993,3,16,5
lecce,1993,3,17,17
torino,1993,4,0,7
milan,1993,4,1,0
parma,1993,4,2,4
sampdoria,1993,4,3,2
inter,1993,4,4,10
juventus,1993,4,5,1
atalanta,1993,4,6,16
cremonese,1993,4,7,12
foggia,1993,4,8,8
lazio,1993,4,9,3
cagliari,1993,4,10,9
napoli,1993,4,11,5
genoa,1993,4,12,13
roma,1993,4,13,6
udinese,1993,4,14,15
reggiana,1993,4,15,11
piacenza,1993,4,16,14
lecce,1993,4,17,17
milan,1993,5,0,0
parma,1993,5,1,4
sampdoria,1993,5,2,2
torino,1993,5,3,7
juventus,1993,5,4,1
inter,1993,5,5,10
atalanta,1993,5,6,16
cremonese,1993,5,7,12
cagliari,1993,5,8,9
lazio,1993,5,9,3
foggia,1993,5,10,8
napoli,1993,5,11,5
piacenza,1993,5,12,14
genoa,1993,5,13,13
roma,1993,5,14,6
udinese,1993,5,15,15
reggiana,1993,5,16,11
lecce,1993,5,17,17
milan,1993,6,0,0
parma,1993,6,1,4
torino,1993,6,2,7
sampdoria,1993,6,3,2
inter,1993,6,4,10
juventus,1993,6,5,1
cagliari,1993,6,6,9
napoli,1993,6,7,5
roma,1993,6,8,6
cremonese,1993,6,9,12
atalanta,1993,6,10,16
foggia,1993,6,11,8
lazio,1993,6,12,3
piacenza,1993,6,13,14
genoa,1993,6,14,13
udinese,1993,6,15,15
reggiana,1993,6,16,11
lecce,1993,6,17,17
milan,1993,7,0,0
parma,1993,7,1,4
sampdoria,1993,7,2,2
juventus,1993,7,3,1
torino,1993,7,4,7
inter,1993,7,5,10
cagliari,1993,7,6,9
cremonese,1993,7,7,12
napoli,1993,7,8,5
roma,1993,7,9,6
atalanta,1993,7,10,16
lazio,1993,7,11,3
udinese,1993,7,12,15
foggia,1993,7,13,8
piacenza,1993,7,14,14
genoa,1993,7,15,13
reggiana,1993,7,16,11
lecce,1993,7,17,17
milan,1993,8,0,0
parma,1993,8,1,4
juventus,1993,8,2,1
sampdoria,1993,8,3,2
torino,1993,8,4,7
inter,1993,8,5,10
napoli,1993,8,6,5
cagliari,1993,8,7,9
cremonese,1993,8,8,12
lazio,1993,8,9,3
roma,1993,8,10,6
foggia,1993,8,11,8
udinese,1993,8,12,15
genoa,1993,8,13,13
atalanta,1993,8,14,16
piacenza,1993,8,15,14
reggiana,1993,8,16,11
lecce,1993,8,17,17
parma,1993,9,0,4
milan,1993,9,1,0
sampdoria,1993,9,2,2
juventus,1993,9,3,1
inter,1993,9,4,10
napoli,1993,9,5,5
torino,1993,9,6,7
cremonese,1993,9,7,12
cagliari,1993,9,8,9
lazio,1993,9,9,3
roma,1993,9,10,6
piacenza,1993,9,11,14
foggia,1993,9,12,8
udinese,1993,9,13,15
atalanta,1993,9,14,16
genoa,1993,9,15,13
reggiana,1993,9,16,11
lecce,1993,9,17,17
sampdoria,1993,10,0,2
juventus,1993,10,1,1
parma,1993,10,2,4
milan,1993,10,3,0
inter,1993,10,4,10
napoli,1993,10,5,5
cremonese,1993,10,6,12
cagliari,1993,10,7,9
lazio,1993,10,8,3
torino,1993,10,9,7
roma,1993,10,10,6
piacenza,1993,10,11,14
foggia,1993,10,12,8
udinese,1993,10,13,15
atalanta,1993,10,14,16
genoa,1993,10,15,13
reggiana,1993,10,16,11
lecce,1993,10,17,17
parma,1993,11,0,4
sampdoria,1993,11,1,2
milan,1993,11,2,0
juventus,1993,11,3,1
inter,1993,11,4,10
cremonese,1993,11,5,12
cagliari,1993,11,6,9
lazio,1993,11,7,3
torino,1993,11,8,7
napoli,1993,11,9,5
roma,1993,11,10,6
piacenza,1993,11,11,14
foggia,1993,11,12,8
genoa,1993,11,13,13
atalanta,1993,11,14,16
udinese,1993,11,15,15
reggiana,1993,11,16,11
lecce,1993,11,17,17
parma,1993,12,0,4
sampdoria,1993,12,1,2
milan,1993,12,2,0
juventus,1993,12,3,1
torino,1993,12,4,7
inter,1993,12,5,10
cremonese,1993,12,6,12
cagliari,1993,12,7,9
lazio,1993,12,8,3
napoli,1993,12,9,5
roma,1993,12,10,6
genoa,1993,12,11,13
piacenza,1993,12,12,14
foggia,1993,12,13,8
reggiana,1993,12,14,11
udinese,1993,12,15,15
atalanta,1993,12,16,16
lecce,1993,12,17,17
sampdoria,1993,13,0,2
parma,1993,13,1,4
milan,1993,13,2,0
juventus,1993,13,3,1
torino,1993,13,4,7
lazio,1993,13,5,3
inter,1993,13,6,10
napoli,1993,13,7,5
cagliari,1993,13,8,9
cremonese,1993,13,9,12
roma,1993,13,10,6
piacenza,1993,13,11,14
genoa,1993,13,12,13
foggia,1993,13,13,8
udinese,1993,13,14,15
atalanta,1993,13,15,16
reggiana,1993,13,16,11
lecce,1993,13,17,17
sampdoria,1993,14,0,2
milan,1993,14,1,0
parma,1993,14,2,4
juventus,1993,14,3,1
inter,1993,14,4,10
torino,1993,14,5,7
cremonese,1993,14,6,12
lazio,1993,14,7,3
roma,1993,14,8,6
napoli,1993,14,9,5
cagliari,1993,14,10,9
piacenza,1993,14,11,14
genoa,1993,14,12,13
reggiana,1993,14,13,11
foggia,1993,14,14,8
udinese,1993,14,15,15
atalanta,1993,14,16,16
lecce,1993,14,17,17
parma,1993,15,0,4
milan,1993,15,1,0
sampdoria,1993,15,2,2
inter,1993,15,3,10
juventus,1993,15,4,1
torino,1993,15,5,7
lazio,1993,15,6,3
cremonese,1993,15,7,12
napoli,1993,15,8,5
roma,1993,15,9,6
cagliari,1993,15,10,9
piacenza,1993,15,11,14
foggia,1993,15,12,8
reggiana,1993,15,13,11
genoa,1993,15,14,13
udinese,1993,15,15,15
atalanta,1993,15,16,16
lecce,1993,15,17,17
milan,1993,16,0,0
sampdoria,1993,16,1,2
parma,1993,16,2,4
juventus,1993,16,3,1
inter,1993,16,4,10
lazio,1993,16,5,3
napoli,1993,16,6,5
torino,1993,16,7,7
cremonese,1993,16,8,12
roma,1993,16,9,6
cagliari,1993,16,10,9
piacenza,1993,16,11,14
foggia,1993,16,12,8
reggiana,1993,16,13,11
atalanta,1993,16,14,16
genoa,1993,16,15,13
udinese,1993,16,16,15
lecce,1993,16,17,17
milan,1993,17,0,0
sampdoria,1993,17,1,2
juventus,1993,17,2,1
parma,1993,17,3,4
lazio,1993,17,4,3
inter,1993,17,5,10
napoli,1993,17,6,5
torino,1993,17,7,7
cremonese,1993,17,8,12
cagliari,1993,17,9,9
roma,1993,17,10,6
piacenza,1993,17,11,14
foggia,1993,17,12,8
atalanta,1993,17,13,16
genoa,1993,17,14,13
reggiana,1993,17,15,11
udinese,1993,17,16,15
lecce,1993,17,17,17
milan,1993,18,0,0
sampdoria,1993,18,1,2
juventus,1993,18,2,1
parma,1993,18,3,4
torino,1993,18,4,7
lazio,1993,18,5,3
inter,1993,18,6,10
napoli,1993,18,7,5
cremonese,1993,18,8,12
roma,1993,18,9,6
cagliari,1993,18,10,9
foggia,1993,18,11,8
piacenza,1993,18,12,14
atalanta,1993,18,13,16
reggiana,1993,18,14,11
genoa,1993,18,15,13
udinese,1993,18,16,15
lecce,1993,18,17,17
milan,1993,19,0,0
sampdoria,1993,19,1,2
juventus,1993,19,2,1
parma,1993,19,3,4
lazio,1993,19,4,3
inter,1993,19,5,10
torino,1993,19,6,7
napoli,1993,19,7,5
cremonese,1993,19,8,12
cagliari,1993,19,9,9
roma,1993,19,10,6
piacenza,1993,19,11,14
foggia,1993,19,12,8
atalanta,1993,19,13,16
genoa,1993,19,14,13
reggiana,1993,19,15,11
udinese,1993,19,16,15
lecce,1993,19,17,17
milan,1993,20,0,0
sampdoria,1993,20,1,2
parma,1993,20,2,4
juventus,1993,20,3,1
inter,1993,20,4,10
lazio,1993,20,5,3
torino,1993,20,6,7
napoli,1993,20,7,5
cagliari,1993,20,8,9
foggia,1993,20,9,8
cremonese,1993,20,10,12
roma,1993,20,11,6
piacenza,1993,20,12,14
reggiana,1993,20,13,11
genoa,1993,20,14,13
udinese,1993,20,15,15
atalanta,1993,20,16,16
lecce,1993,20,17,17
milan,1993,21,0,0
sampdoria,1993,21,1,2
parma,1993,21,2,4
juventus,1993,21,3,1
inter,1993,21,4,10
lazio,1993,21,5,3
torino,1993,21,6,7
napoli,1993,21,7,5
cagliari,1993,21,8,9
piacenza,1993,21,9,14
foggia,1993,21,10,8
roma,1993,21,11,6
cremonese,1993,21,12,12
reggiana,1993,21,13,11
udinese,1993,21,14,15
genoa,1993,21,15,13
atalanta,1993,21,16,16
lecce,1993,21,17,17
milan,1993,22,0,0
sampdoria,1993,22,1,2
parma,1993,22,2,4
juventus,1993,22,3,1
lazio,1993,22,4,3
inter,1993,22,5,10
napoli,1993,22,6,5
torino,1993,22,7,7
cremonese,1993,22,8,12
cagliari,1993,22,9,9
piacenza,1993,22,10,14
foggia,1993,22,11,8
roma,1993,22,12,6
reggiana,1993,22,13,11
genoa,1993,22,14,13
udinese,1993,22,15,15
atalanta,1993,22,16,16
lecce,1993,22,17,17
milan,1993,23,0,0
parma,1993,23,1,4
sampdoria,1993,23,2,2
juventus,1993,23,3,1
lazio,1993,23,4,3
inter,1993,23,5,10
torino,1993,23,6,7
napoli,1993,23,7,5
piacenza,1993,23,8,14
foggia,1993,23,9,8
cremonese,1993,23,10,12
cagliari,1993,23,11,9
roma,1993,23,12,6
udinese,1993,23,13,15
reggiana,1993,23,14,11
genoa,1993,23,15,13
atalanta,1993,23,16,16
lecce,1993,23,17,17
milan,1993,24,0,0
sampdoria,1993,24,1,2
parma,1993,24,2,4
juventus,1993,24,3,1
lazio,1993,24,4,3
inter,1993,24,5,10
torino,1993,24,6,7
napoli,1993,24,7,5
foggia,1993,24,8,8
cagliari,1993,24,9,9
piacenza,1993,24,10,14
cremonese,1993,24,11,12
roma,1993,24,12,6
udinese,1993,24,13,15
reggiana,1993,24,14,11
genoa,1993,24,15,13
atalanta,1993,24,16,16
lecce,1993,24,17,17
milan,1993,25,0,0
sampdoria,1993,25,1,2
parma,1993,25,2,4
juventus,1993,25,3,1
lazio,1993,25,4,3
torino,1993,25,5,7
inter,1993,25,6,10
napoli,1993,25,7,5
cagliari,1993,25,8,9
foggia,1993,25,9,8
piacenza,1993,25,10,14
cremonese,1993,25,11,12
udinese,1993,25,12,15
roma,1993,25,13,6
genoa,1993,25,14,13
reggiana,1993,25,15,11
atalanta,1993,25,16,16
lecce,1993,25,17,17
milan,1993,26,0,0
sampdoria,1993,26,1,2
parma,1993,26,2,4
lazio,1993,26,3,3
juventus,1993,26,4,1
inter,1993,26,5,10
torino,1993,26,6,7
napoli,1993,26,7,5
cagliari,1993,26,8,9
foggia,1993,26,9,8
piacenza,1993,26,10,14
cremonese,1993,26,11,12
genoa,1993,26,12,13
udinese,1993,26,13,15
roma,1993,26,14,6
reggiana,1993,26,15,11
atalanta,1993,26,16,16
lecce,1993,26,17,17
milan,1993,27,0,0
sampdoria,1993,27,1,2
parma,1993,27,2,4
lazio,1993,27,3,3
juventus,1993,27,4,1
torino,1993,27,5,7
inter,1993,27,6,10
napoli,1993,27,7,5
cagliari,1993,27,8,9
foggia,1993,27,9,8
cremonese,1993,27,10,12
piacenza,1993,27,11,14
genoa,1993,27,12,13
udinese,1993,27,13,15
roma,1993,27,14,6
reggiana,1993,27,15,11
atalanta,1993,27,16,16
lecce,1993,27,17,17
milan,1993,28,0,0
sampdoria,1993,28,1,2
lazio,1993,28,2,3
juventus,1993,28,3,1
parma,1993,28,4,4
torino,1993,28,5,7
inter,1993,28,6,10
napoli,1993,28,7,5
cremonese,1993,28,8,12
cagliari,1993,28,9,9
piacenza,1993,28,10,14
foggia,1993,28,11,8
genoa,1993,28,12,13
reggiana,1993,28,13,11
roma,1993,28,14,6
udinese,1993,28,15,15
atalanta,1993,28,16,16
lecce,1993,28,17,17
milan,1993,29,0,0
sampdoria,1993,29,1,2
juventus,1993,29,2,1
parma,1993,29,3,4
lazio,1993,29,4,3
torino,1993,29,5,7
napoli,1993,29,6,5
inter,1993,29,7,10
cremonese,1993,29,8,12
cagliari,1993,29,9,9
piacenza,1993,29,10,14
foggia,1993,29,11,8
genoa,1993,29,12,13
roma,1993,29,13,6
reggiana,1993,29,14,11
udinese,1993,29,15,15
atalanta,1993,29,16,16
lecce,1993,29,17,17
milan,1993,30,0,0
sampdoria,1993,30,1,2
juventus,1993,30,2,1
parma,1993,30,3,4
lazio,1993,30,4,3
torino,1993,30,5,7
napoli,1993,30,6,5
inter,1993,30,7,10
cremonese,1993,30,8,12
foggia,1993,30,9,8
roma,1993,30,10,6
cagliari,1993,30,11,9
piacenza,1993,30,12,14
genoa,1993,30,13,13
reggiana,1993,30,14,11
udinese,1993,30,15,15
atalanta,1993,30,16,16
lecce,1993,30,17,17
milan,1993,31,0,0
sampdoria,1993,31,1,2
juventus,1993,31,2,1
lazio,1993,31,3,3
parma,1993,31,4,4
torino,1993,31,5,7
inter,1993,31,6,10
napoli,1993,31,7,5
cremonese,1993,31,8,12
roma,1993,31,9,6
cagliari,1993,31,10,9
foggia,1993,31,11,8
piacenza,1993,31,12,14
genoa,1993,31,13,13
reggiana,1993,31,14,11
udinese,1993,31,15,15
atalanta,1993,31,16,16
lecce,1993,31,17,17
milan,1993,32,0,0
sampdoria,1993,32,1,2
juventus,1993,32,2,1
parma,1993,32,3,4
lazio,1993,32,4,3
torino,1993,32,5,7
napoli,1993,32,6,5
roma,1993,32,7,6
inter,1993,32,8,10
foggia,1993,32,9,8
cremonese,1993,32,10,12
cagliari,1993,32,11,9
reggiana,1993,32,12,11
piacenza,1993,32,13,14
genoa,1993,32,14,13
udinese,1993,32,15,15
atalanta,1993,32,16,16
lecce,1993,32,17,17
milan,1993,33,0,0
sampdoria,1993,33,1,2
juventus,1993,33,2,1
lazio,1993,33,3,3
parma,1993,33,4,4
torino,1993,33,5,7
napoli,1993,33,6,5
foggia,1993,33,7,8
inter,1993,33,8,10
roma,1993,33,9,6
cremonese,1993,33,10,12
cagliari,1993,33,11,9
genoa,1993,33,12,13
reggiana,1993,33,13,11
piacenza,1993,33,14,14
udinese,1993,33,15,15
atalanta,1993,33,16,16
lecce,1993,33,17,17
milan,1993,34,0,0
juventus,1993,34,1,1
