team,year,day,points,position
foggia,1993,0,0,0
atalanta,1993,0,0,1
genoa,1993,0,0,2
roma,1993,0,0,3
inter,1993,0,0,4
reggiana,1993,0,0,5
juventus,1993,0,0,6
cremonese,1993,0,0,7
lazio,1993,0,0,8
cagliari,1993,0,0,9
lecce,1993,0,0,10
milan,1993,0,0,11
napoli,1993,0,0,12
sampdoria,1993,0,0,13
piacenza,1993,0,0,14
torino,1993,0,0,15
udinese,1993,0,0,16
parma,1993,0,0,17
atalanta,1993,1,3,0
parma,1993,1,3,1
genoa,1993,1,3,2
torino,1993,1,3,3
inter,1993,1,3,4
sampdoria,1993,1,3,5
juventus,1993,1,3,6
milan,1993,1,3,7
lazio,1993,1,1,8
foggia,1993,1,1,9
cagliari,1993,1,0,10
lecce,1993,1,0,11
cremonese,1993,1,0,12
napoli,1993,1,0,13
reggiana,1993,1,0,14
piacenza,1993,1,0,15
roma,1993,1,0,16
udinese,1993,1,0,17
parma,1993,2,6,0
torino,1993,2,6,1
sampdoria,1993,2,6,2
milan,1993,2,6,3
inter,1993,2,4,4
udinese,1993,2,3,5
juventus,1993,2,3,6
cremonese,1993,2,3,7
genoa,1993,2,3,8
roma,1993,2,3,9
atalanta,1993,2,3,10
lazio,1993,2,2,11
foggia,1993,2,2,12
reggiana,1993,2,1,13
lecce,1993,2,0,14
napoli,1993,2,0,15
cagliari,1993,2,0,16
piacenza,1993,2,0,17
torino,1993,3,7,0
inter,1993,3,7,1
milan,1993,3,7,2
atalanta,1993,3,6,3
parma,1993,3,6,4
sampdoria,1993,3,6,5
juventus,1993,3,6,6
foggia,1993,3,5,7
lazio,1993,3,5,8
udinese,1993,3,4,9
genoa,1993,3,4,10
roma,1993,3,4,11
cremonese,1993,3,3,12
reggiana,1993,3,1,13
piacenza,1993,3,1,14
cagliari,1993,3,1,15
napoli,1993,3,1,16
lecce,1993,3,0,17
torino,1993,4,10,0
milan,1993,4,10,1
parma,1993,4,9,2
sampdoria,1993,4,9,3
inter,1993,4,7,4
juventus,1993,4,7,5
atalanta,1993,4,6,6
cremonese,1993,4,6,7
foggia,1993,4,6,8
lazio,1993,4,5,9
cagliari,1993,4,4,10
napoli,1993,4,4,11
genoa,1993,4,4,12
roma,1993,4,4,13
udinese,1993,4,4,14
reggiana,1993,4,2,15
piacenza,1993,4,2,16
lecce,1993,4,0,17
milan,1993,5,13,0
parma,1993,5,12,1
sampdoria,1993,5,12,2
torino,1993,5,10,3
juventus,1993,5,10,4
inter,1993,5,8,5
atalanta,1993,5,7,6
cremonese,1993,5,7,7
cagliari,1993,5,7,8
lazio,1993,5,6,9
foggia,1993,5,6,10
napoli,1993,5,5,11
piacenza,1993,5,5,12
genoa,1993,5,5,13
roma,1993,5,4,14
udinese,1993,5,4,15
reggiana,1993,5,2,16
lecce,1993,5,0,17
milan,1993,6,16,0
parma,1993,6,13,1
torino,1993,6,13,2
sampdoria,1993,6,13,3
inter,1993,6,11,4
juventus,1993,6,11,5
cagliari,1993,6,10,6
napoli,1993,6,8,7
roma,1993,6,7,8
cremonese,1993,6,7,9
atalanta,1993,6,7,10
foggia,1993,6,7,11
lazio,1993,6,6,12
piacenza,1993,6,5,13
genoa,1993,6,5,14
udinese,1993,6,4,15
reggiana,1993,6,3,16
lecce,1993,6,1,17
milan,1993,7,17,0
parma,1993,7,16,1
sampdoria,1993,7,16,2
juventus,1993,7,14,3
torino,1993,7,13,4
inter,1993,7,12,5
cagliari,1993,7,11,6
cremonese,1993,7,10,7
napoli,1993,7,9,8
roma,1993,7,7,9
atalanta,1993,7,7,10
lazio,1993,7,7,11
udinese,1993,7,7,12
foggia,1993,7,7,13
piacenza,1993,7,6,14
genoa,1993,7,6,15
reggiana,1993,7,4,16
lecce,1993,7,1,17
milan,1993,8,18,0
parma,1993,8,17,1
juventus,1993,8,17,2
sampdoria,1993,8,16,3
torino,1993,8,14,4
inter,1993,8,13,5
napoli,1993,8,12,6
cagliari,1993,8,11,7
cremonese,1993,8,11,8
lazio,1993,8,10,9
roma,1993,8,10,10
foggia,1993,8,8,11
udinese,1993,8,8,12
genoa,1993,8,7,13
atalanta,1993,8,7,14
piacenza,1993,8,6,15
reggiana,1993,8,5,16
lecce,1993,8,2,17
parma,1993,9,20,0
milan,1993,9,19,1
sampdoria,1993,9,19,2
juventus,1993,9,18,3
inter,1993,9,16,4
napoli,1993,9,15,5
torino,1993,9,14,6
cremonese,1993,9,14,7
cagliari,1993,9,11,8
lazio,1993,9,11,9
roma,1993,9,11,10
piacenza,1993,9,9,11
foggia,1993,9,9,12
udinese,1993,9,8,13
atalanta,1993,9,8,14
genoa,1993,9,7,15
reggiana,1993,9,5,16
lecce,1993,9,2,17
sampdoria,1993,10,22,0
juventus,1993,10,21,1
parma,1993,10,20,2
milan,1993,10,19,3
inter,1993,10,19,4
napoli,1993,10,16,5
cremonese,1993,10,15,6
cagliari,1993,10,14,7
lazio,1993,10,14,8
torino,1993,10,14,9
roma,1993,10,12,10
piacenza,1993,10,10,11
foggia,1993,10,10,12
udinese,1993,10,8,13
atalanta,1993,10,8,14
genoa,1993,10,7,15
reggiana,1993,10,6,16
lecce,1993,10,5,17
parma,1993,11,23,0
sampdoria,1993,11,22,1
milan,1993,11,22,2
juventus,1993,11,21,3
inter,1993,11,19,4
cremonese,1993,11,18,5
cagliari,1993,11,17,6
lazio,1993,11,17,7
torino,1993,11,17,8
napoli,1993,11,16,9
roma,1993,11,13,10
piacenza,1993,11,11,11
foggia,1993,11,11,12
genoa,1993,11,10,13
atalanta,1993,11,9,14
udinese,1993,11,8,15
reggiana,1993,11,6,16
lecce,1993,11,5,17
parma,1993,12,26,0
sampdoria,1993,12,25,1
milan,1993,12,25,2
