team,year,day,points,position
waalwijk,1993,0,0,0
go ahead eagles,1993,0,0,1
heerenveen,1993,0,0,2
sparta,1993,0,0,3
nac breda,1993,0,0,4
roda jc,1993,0,0,5
willem ii,1993,0,0,6
mvv maastricht,1993,0,0,7
ajax,1993,0,0,8
vitesse,1993,0,0,9
feyenoord,1993,0,0,10
cambuur,1993,0,0,11
groningen,1993,0,0,12
psv eindhoven,1993,0,0,13
twente,1993,0,0,14
vvv venlo,1993,0,0,15
volendam,1993,0,0,16
utrecht,1993,0,0,17
heerenveen,1993,1,3,0
roda jc,1993,1,3,1
willem ii,1993,1,3,2
ajax,1993,1,3,3
vitesse,1993,1,3,4
feyenoord,1993,1,3,5
psv eindhoven,1993,1,3,6
twente,1993,1,3,7
utrecht,1993,1,1,8
volendam,1993,1,1,9
sparta,1993,1,0,10
cambuur,1993,1,0,11
groningen,1993,1,0,12
mvv maastricht,1993,1,0,13
nac breda,1993,1,0,14
vvv venlo,1993,1,0,15
go ahead eagles,1993,1,0,16
waalwijk,1993,1,0,17
twente,1993,2,6,0
psv eindhoven,1993,2,6,1
roda jc,1993,2,6,2
feyenoord,1993,2,6,3
vitesse,1993,2,6,4
ajax,1993,2,6,5
heerenveen,1993,2,4,6
sparta,1993,2,3,7
willem ii,1993,2,3,8
nac breda,1993,2,3,9
mvv maastricht,1993,2,1,10
utrecht,1993,2,1,11
volendam,1993,2,1,12
go ahead eagles,1993,2,0,13
cambuur,1993,2,0,14
vvv venlo,1993,2,0,15
groningen,1993,2,0,16
waalwijk,1993,2,0,17
ajax,1993,3,9,0
roda jc,1993,3,9,1
feyenoord,1993,3,9,2
heerenveen,1993,3,7,3
psv eindhoven,1993,3,7,4
nac breda,1993,3,6,5
twente,1993,3,6,6
vitesse,1993,3,6,7
volendam,1993,3,4,8
go ahead eagles,1993,3,3,9
sparta,1993,3,3,10
groningen,1993,3,3,11
willem ii,1993,3,3,12
vvv venlo,1993,3,3,13
mvv maastricht,1993,3,2,14
utrecht,1993,3,1,15
waalwijk,1993,3,1,16
cambuur,1993,3,0,17
ajax,1993,4,12,0
roda jc,1993,4,12,1
feyenoord,1993,4,12,2
psv eindhoven,1993,4,10,3
nac breda,1993,4,9,4
vitesse,1993,4,9,5
heerenveen,1993,4,8,6
twente,1993,4,6,7
vvv venlo,1993,4,6,8
volendam,1993,4,4,9
sparta,1993,4,4,10
mvv maastricht,1993,4,3,11
groningen,1993,4,3,12
willem ii,1993,4,3,13
go ahead eagles,1993,4,3,14
utrecht,1993,4,1,15
waalwijk,1993,4,1,16
cambuur,1993,4,0,17
feyenoord,1993,5,15,0
ajax,1993,5,13,1
roda jc,1993,5,13,2
vitesse,1993,5,12,3
heerenveen,1993,5,11,4
psv eindhoven,1993,5,10,5
nac breda,1993,5,9,6
twente,1993,5,9,7
vvv venlo,1993,5,9,8
willem ii,1993,5,6,9
go ahead eagles,1993,5,6,10
sparta,1993,5,5,11
utrecht,1993,5,4,12
volendam,1993,5,4,13
groningen,1993,5,3,14
mvv maastricht,1993,5,3,15
waalwijk,1993,5,2,16
cambuur,1993,5,0,17
feyenoord,1993,6,18,0
ajax,1993,6,16,1
vitesse,1993,6,15,2
roda jc,1993,6,14,3
heerenveen,1993,6,14,4
psv eindhoven,1993,6,13,5
twente,1993,6,10,6
nac breda,1993,6,9,7
vvv venlo,1993,6,9,8
willem ii,1993,6,7,9
go ahead eagles,1993,6,6,10
sparta,1993,6,5,11
waalwijk,1993,6,5,12
volendam,1993,6,4,13
utrecht,1993,6,4,14
groningen,1993,6,3,15
mvv maastricht,1993,6,3,16
cambuur,1993,6,0,17
feyenoord,1993,7,21,0
ajax,1993,7,19,1
vitesse,1993,7,18,2
psv eindhoven,1993,7,14,3
roda jc,1993,7,14,4
heerenveen,1993,7,14,5
nac breda,1993,7,12,6
willem ii,1993,7,10,7
twente,1993,7,10,8
vvv venlo,1993,7,9,9
go ahead eagles,1993,7,7,10
mvv maastricht,1993,7,6,11
groningen,1993,7,6,12
sparta,1993,7,6,13
waalwijk,1993,7,5,14
volendam,1993,7,4,15
utrecht,1993,7,4,16
cambuur,1993,7,0,17
feyenoord,1993,8,24,0
ajax,1993,8,22,1
vitesse,1993,8,19,2
roda jc,1993,8,17,3
psv eindhoven,1993,8,15,4
nac breda,1993,8,15,5
heerenveen,1993,8,14,6
willem ii,1993,8,13,7
twente,1993,8,13,8
vvv venlo,1993,8,12,9
go ahead eagles,1993,8,7,10
volendam,1993,8,7,11
utrecht,1993,8,7,12
groningen,1993,8,6,13
mvv maastricht,1993,8,6,14
sparta,1993,8,6,15
waalwijk,1993,8,5,16
cambuur,1993,8,1,17
feyenoord,1993,9,27,0
ajax,1993,9,22,1
vitesse,1993,9,19,2
psv eindhoven,1993,9,18,3
roda jc,1993,9,17,4
nac breda,1993,9,16,5
heerenveen,1993,9,14,6
willem ii,1993,9,13,7
twente,1993,9,13,8
vvv venlo,1993,9,12,9
sparta,1993,9,9,10
groningen,1993,9,9,11
go ahead eagles,1993,9,8,12
utrecht,1993,9,8,13
mvv maastricht,1993,9,7,14
volendam,1993,9,7,15
waalwijk,1993,9,6,16
cambuur,1993,9,2,17
feyenoord,1993,10,28,0
ajax,1993,10,23,1
psv eindhoven,1993,10,21,2
roda jc,1993,10,20,3
nac breda,1993,10,19,4
vitesse,1993,10,19,5
willem ii,1993,10,16,6
twente,1993,10,16,7
heerenveen,1993,10,14,8
vvv venlo,1993,10,13,9
go ahead eagles,1993,10,11,10
mvv maastricht,1993,10,10,11
sparta,1993,10,10,12
groningen,1993,10,9,13
utrecht,1993,10,8,14
volendam,1993,10,7,15
waalwijk,1993,10,6,16
cambuur,1993,10,2,17
feyenoord,1993,11,29,0
ajax,1993,11,26,1
vitesse,1993,11,22,2
psv eindhoven,1993,11,21,3
roda jc,1993,11,20,4
willem ii,1993,11,19,5
nac breda,1993,11,19,6
twente,1993,11,19,7
heerenveen,1993,11,17,8
vvv venlo,1993,11,14,9
go ahead eagles,1993,11,14,10
utrecht,1993,11,11,11
sparta,1993,11,11,12
groningen,1993,11,10,13
mvv maastricht,1993,11,10,14
volendam,1993,11,8,15
waalwijk,1993,11,6,16
cambuur,1993,11,2,17
feyenoord,1993,12,32,0
ajax,1993,12,29,1
vitesse,1993,12,25,2
psv eindhoven,1993,12,24,3
roda jc,1993,12,23,4
willem ii,1993,12,22,5
twente,1993,12,20,6
nac breda,1993,12,19,7
heerenveen,1993,12,18,8
